key,es,en,ca,pt,de,gl,eu
streamingQuestions.2.options.0.text,"Las acabo consumiendo por inercia o comodidad.","I end up consuming them out of habit or convenience.","Les acabo consumint per inèrcia o comoditat.","Acabo por as consumir por inércia ou comodidade.","Ich konsumiere sie am Ende aus Gewohnheit oder Bequemlichkeit.","Acáboas consumindo por inercia ou comodidade.","Inertziaz edo erosotasunagatik kontsumitzen amaitzen ditut."
streamingQuestions.2.options.1.text,"Uso los botones de valoración o borro el historial para intentar educarla.","I use the rating buttons or clear my history to try and educate it.","Utilitzo els botons de valoració o esborro l'historial per intentar educar-la.","Uso os botões de avaliação ou apago o histórico para tentar educá-la.","Ich benutze die Bewertungs-Buttons oder lösche meinen Verlauf, um zu versuchen, das System zu erziehen.","Uso os botóns de valoración ou borro o historial para tentar educala.","Balorazio botoiak erabiltzen ditut edo nire historia garbitzen dut plataforma hezten saiatzeko."
streamingQuestions.2.options.2.text,"Reflexiono críticamente sobre la falta de diversidad cultural del catálogo.","I critically reflect on the catalog's lack of cultural diversity.","Reflexiono críticament sobre la falta de diversitat cultural del catàleg.","Reflito criticamente sobre a falta de diversidade cultural do catálogo.","Ich denke kritisch über die mangelnde kulturelle Vielfalt des Katalogs nach.","Reflexiono criticamente sobre a falta de diversidade cultural do catálogo.","Katalogoaren kultura-aniztasun ezari buruzko gogoeta kritikoa egiten dut."
streamingQuestions.2.options.3.text,"Cierro la aplicación y opto por catálogos alternativos o formatos independientes.","I close the application and opt for alternative catalogs or independent formats.","Tanco l'aplicació i opto per catàlegs alternatius o formats independents.","Fecho a aplicação e opto por catálogos alternativos ou formatos independentes.","Ich schließe die Anwendung und entscheide mich für alternative Kataloge oder unabhängige Formate.","Pecho a aplicación e opto por catálogos alternativos ou formatos independentes.","Aplikazioa itxi eta katalogo alternatibo edo formatu independenteen alde egiten dut."
streamingQuestions.3.text,"¿Hasta qué punto sientes que controlas tu catálogo de recomendaciones en {plataforma}?","To what extent do you feel you control your recommendation catalog on {plataforma}?","Fins a quin punt sents que controles el teu catàleg de recomanacions a {plataforma}?","Até que ponto sente que controla o seu catálogo de recomendações no {plataforma}?","Inwiefern hast du das Gefühl, deinen Empfehlungskatalog auf {plataforma} zu kontrollieren?","Ata que punto sentes que controlas o teu catálogo de recomendacións en {plataforma}?","Zure ustez, noraino kontrolatzen duzu {plataforma} plataformako gomendioen katalogoa?"
streamingQuestions.3.options.0.text,"Nada, me limito a lo que la portada me pone delante.","Not at all, I just stick to what the homepage puts in front of me.","Gens, em limito al que la portada em posa al davant.","Nada, limito-me ao que a página inicial me coloca à frente.","Gar nicht, ich beschränke mich auf das, was mir auf der Startseite präsentiert wird.","Nada, limítome ao que a portada me pon diante.","Inondik inora ere ez, hasierako orriak aurrean jartzen didanari soilik lotzen natzaio."
streamingQuestions.3.options.1.text,"Algo, porque lo voy moldeando al añadir obras a mis listas o favoritos.","Somewhat, because I shape it by adding works to my lists or favorites.","Una mica, perquè el vaig modelant a l'afegir obres a les meves llistes o favorits.","Um pouco, porque o vou moldando ao adicionar obras às minhas listas ou favoritos.","Ein wenig, weil ich ihn forme, indem ich Werke zu meinen Listen oder Favoriten hinzufüge.","Algo, porque o vou moldeando ao engadir obras ás miñas listas ou favoritos.","Zerbait, nire zerrendetara edo gogokoetara lanak gehituz moldatzen dudalako."
streamingQuestions.3.options.2.text,"Bastante, porque busco activamente saltándome la página principal.","Quite a lot, because I actively search, skipping the main page.","Bastant, perquè busco activament saltant-me la pàgina principal.","Bastante, porque procuro ativamente saltando a página principal.","Ziemlich viel, weil ich aktiv suche und die Hauptseite überspringe.","Bastante, porque busco activamente saltándome a páxina principal.","Nahiko, bilaketa aktiboak egiten ditudalako hasierako orria saihestuz."
streamingQuestions.3.options.3.text,"Total, ignoro las sugerencias automáticas y voy directo a lo que quiero consumir.","Totally, I ignore automatic suggestions and go straight to what I want.","Totalment, ignoro els suggeriments automàtics i vaig directe al que vull consumir.","Totalmente, ignoro as sugestões automáticas e vou diretamente ao que quero consumir.","Völlig, ich ignoriere automatische Vorschläge und gehe direkt zu dem, was ich konsumieren möchte.","Total, ignoro as suxestións automáticas e vou directo ao que quero consumir.","Guztiz, gomendio automatikoei ez diet jaramonik egiten eta zuzenean nahi dudanera joaten naiz."
streamingQuestions.4.text,"Para descubrir joyas ocultas u obras menos conocidas en {plataforma}, ¿qué haces?","To discover hidden gems or lesser-known works on {plataforma}, what do you do?","Per descobrir joies ocultes o obres menys conegudes a {plataforma}, què fas?","Para descobrir joias ocultas ou obras menos conhecidas no {plataforma}, o que faz?","Um verborgene Schätze oder weniger bekannte Werke auf {plataforma} zu entdecken, was tust du?","Para descubrir xoias ocultas ou obras menos coñecidas en {plataforma}, que fas?","Ezkutuko harribitxiak edo {plataforma} plataforman hain ezagunak ez diren lanak deskubritzeko, zer egiten duzu?"
streamingQuestions.4.options.0.text,"Dejo que la reproducción automática me sorprenda.","I let autoplay surprise me.","Deixo que la reproducció automàtica em sorprengui.","Deixo que a reprodução automática me surpreenda.","Ich lasse mich vom Autoplay überraschen.","Deixo que a reprodución automática me sorprenda.","Erreprodukzio automatikoak harritu nazan uzten dut."
streamingQuestions.4.options.1.text,"Exploro subcategorías o listas temáticas específicas sugeridas en la interfaz.","I explore specific subcategories or thematic lists suggested in the UI.","Exploro subcategories o llistes temàtiques específiques suggerides a la interfície.","Exploro subcategorias ou listas temáticas específicas sugeridas na interface.","Ich erkunde spezifische Unterkategorien oder thematische Listen, die in der Benutzeroberfläche vorgeschlagen werden.","Exploro subcategorías ou listas temáticas específicas suxeridas na interface.","Interfazean iradokitako azpikategoria edo zerrenda tematiko zehatzak esploratzen ditut."
streamingQuestions.4.options.2.text,"Consulto foros, revistas o pregunto a personas fuera del ecosistema de la app.","I consult forums, magazines, or ask people outside the app's ecosystem.","Consulto fòrums, revistes o pregunto a persones fora de l'ecosistema de l'app.","Consulto fóruns, revistas ou pergunto a pessoas fora do ecossistema da app.","Ich konsultiere Foren, Zeitschriften oder frage Leute außerhalb des App-Ökosystems.","Consulto foros, revistas ou pregunto a persoas fóra do ecosistema da app.","Foroak, aldizkariak kontsultatzen ditut edo aplikazioaren ekosistematik kanpoko jendeari galdetzen diot."
streamingQuestions.4.options.3.text,"Investigo en bases de datos independientes para encontrar contenido de nicho.","I research in independent databases to find niche content.","Investigo en bases de dades independents per trobar contingut de nínxol.","Investigo em bases de dados independentes para encontrar conteúdo de nicho.","Ich recherchiere in unabhängigen Datenbanken, um Nischeninhalte zu finden.","Investigo en bases de datos independentes para atopar contido de nicho.","Datu-base independenteetan ikertzen dut nitxoko edukiak aurkitzeko."
streamingQuestions.5.text,"¿Qué opinión te merecen las listas de 'Top 10' o 'Más populares' en {plataforma}?","What is your opinion of the 'Top 10' or 'Most popular' lists on {plataforma}?","Quina opinió et mereixen les llistes de 'Top 10' o 'Més populars' a {plataforma}?","Que opinião tem sobre as listas de 'Top 10' ou 'Mais populares' do {plataforma}?","Was hältst du von den 'Top 10' oder 'Beliebteste'-Listen auf {plataforma}?","Que opinión che merecen as listas de 'Top 10' ou 'Máis populares' en {plataforma}?","Zer iritzi duzu {plataforma} plataformako 'Top 10' edo 'Ezagunenen' zerrendei buruz?"
streamingQuestions.5.options.0.text,"Son la opción más segura y rápida para elegir qué consumir hoy.","They are the safest and fastest option to choose what to consume today.","Són l'opció més segura i ràpida per triar què consumir avui.","São a opção mais segura e rápida para escolher o que consumir hoje.","Sie sind die sicherste und schnellste Option, um auszuwählen, was man heute konsumieren möchte.","Son a opción máis segura e rápida para elixir que consumir hoxe.","Gaur zer kontsumitu aukeratzeko aukera seguruena eta azkarrena dira."
streamingQuestions.5.options.1.text,"Las reviso por curiosidad, pero solo escojo lo que encaja en mis gustos.","I check them out of curiosity, but only pick what fits my tastes.","Les reviso per curiositat, però només trio el que encaixa en els meus gustos.","Revejo-as por curiosidade, mas só escolho o que se enquadra nos meus gostos.","Ich überprüfe sie aus Neugierde, wähle aber nur aus, was zu meinem Geschmack passt.","Revísoas por curiosidade, pero só escollo o que encaixa nos meus gustos.","Jakin-minagatik begiratzen ditut, baina nire gustuekin bat datorrena bakarrik aukeratzen dut."
streamingQuestions.5.options.2.text,"Las uso como referencia, pero siempre valido su calidad en otros sitios.","I use them as a reference, but always validate their quality elsewhere.","Les utilitzo com a referència, però sempre valido la seva qualitat en altres llocs.","Uso-as como referência, mas valido sempre a sua qualidade noutros sites.","Ich nutze sie als Referenz, überprüfe ihre Qualität aber immer an anderer Stelle.","Úsoas como referencia, pero sempre valido a súa calidade noutros sitios.","Erreferentzia gisa erabiltzen ditut, baina beti baliozkotzen dut haien kalitatea beste nonbait."
streamingQuestions.5.options.3.text,"Suelo evitarlas activamente porque suelen beneficiar a las grandes producciones.","I actively avoid them because they usually benefit large productions.","Les solc evitar activament perquè solen beneficiar a les grans produccions.","Costumo evitá-las ativamente porque tendem a beneficiar as grandes produções.","Ich meide sie aktiv, weil sie normalerweise große Produktionen bevorzugen.","Adoito evitalas activamente porque adoitan beneficiar ás grandes producións.","Aktiboki saihesten ditut, ekoizpen handiei bakarrik mesede egin ohi dietelako."
streamingQuestions.6.text,"¿Con qué frecuencia exploras géneros muy alejados de tus preferencias habituales en {plataforma}?","How often do you explore genres very far from your usual preferences on {plataforma}?","Amb quina freqüència explores gèneres molt allunyats de les teves preferències habituals a {plataforma}?","Com que frequência explora géneros muito distantes das suas preferências habituais no {plataforma}?","Wie oft erkundest du Genres auf {plataforma}, die sehr weit von deinen üblichen Vorlieben entfernt sind?","Con que frecuencia exploras xéneros moi afastados das túas preferencias habituais en {plataforma}?","Zenbat bider esploratzen dituzu zure ohiko lehentasunetatik oso urrun dauden generoak {plataforma} plataforman?"
streamingQuestions.6.options.0.text,"Nunca, prefiero confiar en la zona de confort que me ofrece el inicio.","Never, I prefer to trust the comfort zone offered by the homepage.","Mai, prefereixo confiar en la zona de confort que m'ofereix l'inici.","Nunca, prefiro confiar na zona de conforto que a página inicial me oferece.","Nie, ich verlasse mich lieber auf die Komfortzone, die mir der Startbildschirm bietet.","Nunca, prefiro confiar na zona de confort que me ofrece o inicio.","Inoiz ez, nahiago dut hasierako orriak eskaintzen didan erosotasun-eremuan konfiantza izan."
streamingQuestions.6.options.1.text,"Raramente, solo lo hago si el sistema me lo recomienda directamente.","Rarely, I only do it if the system recommends it directly to me.","Rarament, només ho faig si el sistema m'ho recomana directament.","Raramente, só o faço se o sistema mo recomendar diretamente.","Selten, ich tue es nur, wenn das System es mir direkt empfiehlt.","Raramente, só o fago se o sistema mo recomenda directamente.","Gutxitan, sistemak zuzenean gomendatzen badit bakarrik egiten dut."
streamingQuestions.6.options.2.text,"Frecuentemente, usando el buscador manual para encontrar variedad.","Frequently, using the manual search to find variety.","Freqüentment, utilitzant el cercador manual per trobar varietat.","Frequentemente, usando a pesquisa manual para encontrar variedade.","Häufig, ich nutze die manuelle Suche, um Vielfalt zu finden.","Frecuentemente, usando o buscador manual para atopar variedade.","Maiz, bilaketa zehatza erabiliz aniztasuna aurkitzeko."
streamingQuestions.6.options.3.text,"Siempre, hago una búsqueda sistemática para acceder a una oferta cultural plural.","Always, I conduct a systematic search to access a plural cultural offering.","Sempre, faig una cerca sistemàtica per accedir a una oferta cultural plural.","Sempre, faço uma pesquisa sistemática para aceder a uma oferta cultural plural.","Immer, ich führe eine systematische Suche durch, um auf ein plurales kulturelles Angebot zuzugreifen.","Sempre, fago unha busca sistemática para acceder a unha oferta cultural plural.","Beti, bilaketa sistematikoa egiten dut eskaintza kultural plural bat eskuratzeko."
streamingQuestions.7.text,"Al añadir contenido a 'Mi lista' o dar 'Me gusta' en {plataforma}, ¿qué buscas principalmente?","When adding content to 'My list' or 'Liking' it on {plataforma}, what is your main goal?","A l'afegir contingut a 'La meva llista' o fer 'M'agrada' a {plataforma}, què busques principalment?","Ao adicionar conteúdo à 'Minha lista' ou dar 'Gosto' no {plataforma}, o que procura principalmente?","Wenn du Inhalte zu 'Meine Liste' hinzufügst oder sie auf {plataforma} 'likest', was ist dein Hauptziel?","Ao engadir contido a 'A miña lista' ou dar 'Gústame' en {plataforma}, que buscas principalmente?","{plataforma} plataforman edukia 'Nire zerrendara' gehitzean edo 'Atsegin dut' ematean, zer bilatzen duzu nagusiki?"
streamingQuestions.7.options.0.text,"Lo hago por automatismo, y muchas veces no lo vuelvo a mirar.","I do it automatically, and often I never look at it again.","Ho faig per automatisme, i moltes vegades no ho torno a mirar.","Faço-o por automatismo e, muitas vezes, não volto a olhar para lá.","Ich tue es automatisch und schaue es mir oft nie wieder an.","Fágoo por automatismo, e moitas veces non o volvo a mirar.","Automatikoki egiten dut, eta askotan ez dut inoiz gehiago begiratzen."
streamingQuestions.7.options.1.text,"Lo hago para afinar el algoritmo y que me sugiera cosas similares en el futuro.","I do it to refine the algorithm so it suggests similar things in the future.","Ho faig per afinar l'algorisme i que em suggereixi coses similars en el futur.","Faço-o para afinar o algoritmo e que me sugira coisas semelhantes no futuro.","Ich tue es, um den Algorithmus zu verfeinern, damit er in Zukunft ähnliche Dinge vorschlägt.","Fágoo para afinar o algoritmo e que me suxira cousas similares no futuro.","Algoritmoa fintzeko egiten dut, etorkizunean antzeko gauzak iradoki diezazkidan."
streamingQuestions.7.options.2.text,"Evito hacerlo mucho para no reducir la diversidad de lo que me muestran.","I avoid doing it much so as not to reduce the diversity of what they show me.","Evito fer-ho molt per no reduir la diversitat del que em mostren.","Evito fazê-lo muito para não reduzir a diversidade daquilo que me mostram.","Ich versuche, es nicht zu oft zu tun, um die Vielfalt der mir angezeigten Dinge nicht einzuschränken.","Evito facelo moito para non reducir a diversidade do que me mostran.","Gehiegi ez egitea saiatzen naiz, erakusten didaten aniztasuna ez murrizteko."
streamingQuestions.7.options.3.text,"Para mantener un archivo personal de obras que realmente valoro como arte.","To keep a personal archive of works that I truly value as art.","Per mantenir un arxiu personal d'obres que realment valoro com a art.","Para manter um arquivo pessoal de obras que realmente valorizo como arte.","Um ein persönliches Archiv von Werken zu führen, die ich als Kunst wirklich schätze.","Para manter un arquivo persoal de obras que realmente valoro como arte.","Artea bezala benetan baloratzen ditudan lanen artxibo pertsonal bat mantentzeko."
streamingQuestions.8.text,"Si llevas demasiado tiempo navegando por el menú de {plataforma} sin decidirte, ¿qué haces?","If you spend too much time browsing the {plataforma} menu without deciding, what do you do?","Si passes massa temps navegant pel menú de {plataforma} sense decidir-te, què fas?","Se passar muito tempo a navegar pelo menu do {plataforma} sem se decidir, o que faz?","Wenn du zu viel Zeit damit verbringst, ohne Entscheidung durch das Menü von {plataforma} zu navigieren, was tust du?","Se pasas demasiado tempo navegando polo menú de {plataforma} sen decidirche, que fas?","{plataforma} plataformaren menuan erabakirik hartu gabe denbora gehiegi nabigatzen pasatzen baduzu, zer egiten duzu?"
streamingQuestions.8.options.0.text,"Acabo poniendo cualquier cosa sugerida en portada para no pensar más.","I end up putting on whatever is suggested on the cover so I don't have to think.","Acabo posant qualsevol cosa suggerida a la portada per no pensar més.","Acabo por colocar qualquer coisa sugerida na capa para não pensar mais no assunto.","Ich schaue mir am Ende irgendetwas an, was auf der Startseite vorgeschlagen wird, um nicht weiter nachdenken zu müssen.","Acabo pondo calquera cousa suxerida na portada para non pensar máis.","Azalean iradokitako edozein gauza jartzen dut pentsatu beharrik ez izateko."
streamingQuestions.8.options.1.text,"Afino la búsqueda utilizando categorías, directores o artistas específicos.","I narrow the search using specific categories, directors, or artists.","Afino la cerca utilitzant categories, directors o artistes específics.","Afino a pesquisa usando categorias, realizadores ou artistas específicos.","Ich schränke die Suche ein, indem ich spezifische Kategorien, Regisseure oder Künstler verwende.","Afino a busca utilizando categorías, directores ou artistas específicos.","Bilaketa mugatzen dut kategoria, zuzendari edo artista zehatzak erabiliz."
streamingQuestions.8.options.2.text,"Consulto alguna web externa de reseñas para salir de dudas y elegir.","I consult an external review website to clear my doubts and choose.","Consulto alguna web externa de ressenyes per sortir de dubtes i triar.","Consulto algum site externo de críticas para tirar as dúvidas e escolher.","Ich konsultiere eine externe Bewertungswebsite, um meine Zweifel auszuräumen und zu wählen.","Consulto algunha web externa de recensións para saír de dúbidas e elixir.","Kanpoko kritika-webgune bat kontsultatzen dut nire zalantzak argitzeko eta aukeratzeko."
streamingQuestions.8.options.3.text,"Apago la pantalla y decido hacer otra actividad ajena a lo digital.","I turn off the screen and decide to do another activity away from digital tech.","Apago la pantalla i decideixo fer una altra activitat aliena a l'entorn digital.","Desligo o ecrã e decido fazer outra atividade alheia ao ambiente digital.","Ich schalte den Bildschirm aus und beschließe, einer anderen Aktivität abseits des Digitalen nachzugehen.","Apago la pantalla e decido facer outra actividade allea ao dixital.","Pantaila itzaltzen dut eta ingurune digitaletik kanpoko beste jarduera bat egitea erabakitzen dut."
streamingQuestions.9.text,"¿Cuál sería tu experiencia ideal al usar {plataforma}?","What would be your ideal experience when using {plataforma}?","Quina seria la teva experiència ideal a l'utilitzar {plataforma}?","Qual seria a sua experiência ideal ao usar o {plataforma}?","Was wäre dein ideales Erlebnis bei der Nutzung von {plataforma}?","Cal sería a túa experiencia ideal ao usar {plataforma}?","Zein izango litzateke zure esperientzia ideala {plataforma} erabiltzean?"
streamingQuestions.9.options.0.text,"Que acierte siempre y me ponga contenido ideal sin tener que navegar.","That it always gets it right and gives me ideal content without having to browse.","Que encerti sempre i em posi contingut ideal sense haver de navegar.","Que acerte sempre e me coloque o conteúdo ideal sem ter de navegar.","Dass es immer ins Schwarze trifft und mir ideale Inhalte liefert, ohne navigieren zu müssen.","Que acerte sempre e póñame contido ideal sen ter que navegar.","Beti asmatzea eta nabigatu beharrik gabe eduki aproposa ematea."
streamingQuestions.9.options.1.text,"Que aprenda de mis hábitos para crear un entorno perfectamente personalizado.","That it learns from my habits to create a perfectly personalized environment.","Que aprengui dels meus hàbits per crear un entorn perfectament personalitzat.","Que aprenda com os meus hábitos para criar um ambiente perfeitamente personalizado.","Dass es aus meinen Gewohnheiten lernt, um eine perfekt personalisierte Umgebung zu schaffen.","Que aprenda dos meus hábitos para crear unha contorna perfectamente personalizada.","Nire ohituretatik ikastea ingurune guztiz pertsonalizatua sortzeko."
streamingQuestions.9.options.2.text,"Que funcione como un gran archivo neutral donde yo busco activamente.","That it functions as a large neutral archive where I actively search.","Que funcioni com un gran arxiu neutral on jo busco activament.","Que funcione como um grande arquivo neutro onde eu pesquiso ativamente.","Dass es als großes neutrales Archiv fungiert, in dem ich aktiv suche.","Que funcione como un gran arquivo neutral onde eu busco activamente.","Aktiboki bilatzen dudan artxibo neutral handi gisa funtzionatzea."
streamingQuestions.9.options.3.text,"Que sea solo un proveedor de acceso, manteniendo mi criterio libre y soberano.","That it is just an access provider, maintaining my free and sovereign judgment.","Que sigui només un proveïdor d'accés, mantenint el meu criteri lliure i sobirà.","Que seja apenas um provedor de acesso, mantendo o meu critério livre e soberano.","Dass es nur ein Zugangsprovider ist und mein freies und souveränes Urteilsvermögen unangetastet bleibt.","Que sexa só un provedor de acceso, mantendo o meu criterio libre e soberano.","Sarbide-hornitzaile soil bat izatea, nire iritzi libre eta subiranoari eutsiz."
